 nlayers, height, LOG10C01, LOG10C02, LOG10T01, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  2, 39.71, -2.685294e+00, -1.179373e+00,  1.155534e+00,  2.400231e+03,  1.742347e+03,  1.226526e+03,  8.782500e+02,  6.255536e+02,  4.422193e+02,  3.098060e+02,  2.155442e+02,  1.481182e+02,  1.005318e+02,  6.683512e+01,  4.326652e+01,  2.748441e+01,  1.707973e+01,  1.035035e+01,  6.142901e+00,  3.551430e+00,  1.999432e+00
  2, 46.72,  6.650887e-01, -1.806231e+00,  9.639283e-01,  3.457128e+02,  5.780863e+02,  4.581120e+02,  3.652726e+02,  2.907994e+02,  2.303936e+02,  1.812190e+02,  1.418170e+02,  1.108246e+02,  8.781747e+01,  7.148425e+01,  6.015406e+01,  5.198594e+01,  4.509752e+01,  3.847570e+01,  3.191480e+01,  2.549392e+01,  1.949735e+01
  2, 37.53, -8.276464e-01, -2.264899e+00,  1.948690e+00,  5.856244e+03,  4.498353e+03,  3.234110e+03,  2.354758e+03,  1.703287e+03,  1.221582e+03,  8.674661e+02,  6.111018e+02,  4.247739e+02,  2.912675e+02,  1.953979e+02,  1.275815e+02,  8.189562e+01,  5.176490e+01,  3.225585e+01,  1.989092e+01,  1.200719e+01,  7.029369e+00
  2, 32.48, -2.520526e+00, -1.553294e+00,  1.890480e+00,  3.078546e+03,  1.110200e+03,  4.731869e+02,  2.456649e+02,  1.443310e+02,  9.215623e+01,  6.137826e+01,  4.174836e+01,  2.847741e+01,  1.936233e+01,  1.297178e+01,  8.497513e+00,  5.476464e+00,  3.458428e+00,  2.131957e+00,  1.287539e+00,  7.575093e-01,  4.339355e-01
  2, 47.27,  7.303589e-02, -2.556526e+00,  1.534221e+00,  1.039458e+03,  1.085909e+03,  8.569114e+02,  6.843221e+02,  5.467791e+02,  4.360849e+02,  3.465517e+02,  2.744250e+02,  2.154953e+02,  1.675481e+02,  1.280167e+02,  9.555051e+01,  6.998074e+01,  5.035242e+01,  3.585284e+01,  2.560216e+01,  1.832875e+01,  1.303568e+01
  2, 34.41, -1.756722e+00, -3.288920e+00,  1.228051e+00,  9.011266e+03,  4.657015e+03,  2.261781e+03,  1.095747e+03,  5.152522e+02,  2.378585e+02,  1.083609e+02,  4.944134e+01,  2.247029e+01,  1.022524e+01,  4.610267e+00,  2.044590e+00,  9.083873e-01,  4.038306e-01,  1.787578e-01,  7.947031e-02,  3.526693e-02,  1.565415e-02
  2, 42.11, -2.182604e+00,  6.637152e-01,  1.086006e+00,  3.065637e+02,  3.682529e+02,  2.898306e+02,  2.327117e+02,  1.878268e+02,  1.519223e+02,  1.228978e+02,  9.943124e+01,  8.011970e+01,  6.424108e+01,  5.096266e+01,  3.983921e+01,  3.079925e+01,  2.347849e+01,  1.760673e+01,  1.300768e+01,  9.431017e+00,  6.705308e+00
  2, 31.65, -5.916453e-01, -3.161907e-01,  1.787745e+00,  8.611849e+03,  6.804632e+03,  4.979608e+03,  3.689142e+03,  2.717156e+03,  1.985316e+03,  1.436914e+03,  1.031879e+03,  7.314491e+02,  5.117080e+02,  3.504618e+02,  2.334980e+02,  1.521631e+02,  9.647818e+01,  5.922824e+01,  3.534334e+01,  2.043232e+01,  1.148342e+01
  2, 33.82, -7.839040e-01, -5.751690e-02,  1.066318e+00,  7.468251e+03,  5.304183e+03,  3.418051e+03,  2.224481e+03,  1.467212e+03,  9.986408e+02,  7.034096e+02,  5.102896e+02,  3.755233e+02,  2.779756e+02,  2.044223e+02,  1.481073e+02,  1.059937e+02,  7.454460e+01,  5.130198e+01,  3.459188e+01,  2.272641e+01,  1.452727e+01
  2, 31.95, -3.539975e-01, -1.902774e+00,  1.202286e+00,  6.899660e+03,  5.774489e+03,  4.353423e+03,  3.343646e+03,  2.598287e+03,  2.051995e+03,  1.636362e+03,  1.299728e+03,  1.009487e+03,  7.592868e+02,  5.465597e+02,  3.733574e+02,  2.431659e+02,  1.504588e+02,  8.816746e+01,  4.919398e+01,  2.602031e+01,  1.306399e+01
