 nlayers, height, LOG10C01, LOG10C02, LOG10C03, LOG10T01, LOG10T02, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09, Z10, Z11, Z12, Z13, Z14, Z15, Z16, Z17, Z18
  3, 48.66, -1.736945e+00, -1.781192e+00, -2.249797e+00,  1.650502e+00,  9.667821e-01,  3.263277e+03,  2.059586e+03,  1.296288e+03,  8.438802e+02,  5.476336e+02,  3.503555e+02,  2.194121e+02,  1.348302e+02,  8.085105e+01,  4.743545e+01,  2.700976e+01,  1.484791e+01,  7.989229e+00,  4.205992e+00,  2.162083e+00,  1.094472e+00,  5.427915e-01,  2.640065e-01
  3, 32.85, -7.081302e-01, -3.944602e+00, -8.481453e-01,  1.145692e+00,  7.809469e-01,  8.370523e+03,  6.620372e+03,  4.957775e+03,  3.752512e+03,  2.782803e+03,  2.006210e+03,  1.405761e+03,  9.632926e+02,  6.450895e+02,  4.241700e+02,  2.725168e+02,  1.705206e+02,  1.050068e+02,  6.350290e+01,  3.759394e+01,  2.188091e+01,  1.244552e+01,  6.911619e+00
  3, 32.59, -1.574531e+00, -1.270193e-01, -1.209567e+00,  1.101026e+00,  1.227720e+00,  3.848022e+03,  2.181521e+03,  1.464238e+03,  1.091667e+03,  8.319765e+02,  6.397013e+02,  4.959696e+02,  3.905456e+02,  3.124083e+02,  2.528292e+02,  2.036750e+02,  1.605549e+02,  1.229006e+02,  9.043535e+01,  6.353515e+01,  4.259774e+01,  2.709007e+01,  1.631495e+01
  3, 49.48, -1.892325e+00, -3.335351e+00, -9.614473e-01,  1.814706e+00,  1.479785e+00,  2.965346e+03,  1.781183e+03,  1.075501e+03,  6.665546e+02,  4.032246e+02,  2.349970e+02,  1.319024e+02,  7.258011e+01,  3.968138e+01,  2.216463e+01,  1.283901e+01,  7.770997e+00,  4.935791e+00,  3.220656e+00,  2.114117e+00,  1.383210e+00,  8.910660e-01,  5.625050e-01
  3, 31.02, -3.639394e+00, -2.773581e+00, -1.029777e+00,  1.043134e+00,  8.630010e-01,  2.815753e+03,  2.134685e+03,  1.530920e+03,  1.113574e+03,  8.053084e+02,  5.777880e+02,  4.106930e+02,  2.897620e+02,  2.018492e+02,  1.388139e+02,  9.347773e+01,  6.128067e+01,  3.939861e+01,  2.476536e+01,  1.517253e+01,  9.097521e+00,  5.310662e+00,  3.017176e+00
  3, 33.22, -3.677818e+00, -1.227752e+00, -8.013358e-01,  1.478353e+00,  1.348086e+00,  1.374461e+03,  1.005056e+03,  6.888095e+02,  4.745203e+02,  3.256431e+02,  2.249352e+02,  1.572415e+02,  1.115919e+02,  7.974067e+01,  5.712823e+01,  4.057456e+01,  2.833604e+01,  1.952731e+01,  1.321124e+01,  8.736706e+00,  5.658131e+00,  3.568265e+00,  2.188744e+00
  3, 30.82, -2.933595e+00, -7.978116e-01, -2.745875e+00,  7.071733e-01,  1.741617e+00,  6.651726e+03,  5.093936e+03,  3.657832e+03,  2.660398e+03,  1.922117e+03,  1.376668e+03,  9.761270e+02,  6.869813e+02,  4.784886e+02,  3.313103e+02,  2.272833e+02,  1.537322e+02,  1.026149e+02,  6.672026e+01,  4.174741e+01,  2.508610e+01,  1.436132e+01,  7.820602e+00
  3, 34.44, -1.006770e+00, -1.701958e+00, -3.906637e+00,  1.259795e+00,  1.803172e+00,  8.390675e+03,  6.241422e+03,  4.504918e+03,  3.297833e+03,  2.363509e+03,  1.642300e+03,  1.104293e+03,  7.221747e+02,  4.577830e+02,  2.818888e+02,  1.671323e+02,  9.475039e+01,  5.191995e+01,  2.743469e+01,  1.392665e+01,  6.839967e+00,  3.229364e+00,  1.465772e+00
  3, 40.11, -2.391444e+00, -3.838112e+00, -3.719947e+00,  1.538901e+00,  1.722951e+00,  3.128931e+03,  1.250811e+03,  5.053036e+02,  2.152771e+02,  9.165099e+01,  3.925337e+01,  1.692156e+01,  7.435616e+00,  3.301552e+00,  1.485816e+00,  6.693239e-01,  2.991582e-01,  1.348686e-01,  6.115857e-02,  2.770231e-02,  1.263819e-02,  5.764061e-03,  2.641705e-03
  3, 48.83, -3.675640e+00, -2.790571e+00, -3.747585e+00,  1.493701e+00,  1.303517e+00,  4.540262e+02,  1.425144e+02,  5.179637e+01,  2.174801e+01,  9.585838e+00,  4.402463e+00,  2.087640e+00,  1.025191e+00,  5.140508e-01,  2.625059e-01,  1.344752e-01,  6.838418e-02,  3.490005e-02,  1.778985e-02,  8.991942e-03,  4.534292e-03,  2.261129e-03,  1.116730e-03
  3, 42.36, -2.619444e+00, -1.300489e+00, -2.340528e-01,  1.376903e+00,  9.494931e-01,  8.891281e+02,  4.639117e+02,  2.967052e+02,  2.167741e+02,  1.649644e+02,  1.277276e+02,  9.962245e+01,  7.800892e+01,  6.091431e+01,  4.732992e+01,  3.632445e+01,  2.739018e+01,  2.036221e+01,  1.486688e+01,  1.062532e+01,  7.443138e+00,  5.085389e+00,  3.384391e+00
